Nom,CodeInsee,Code postal,Arrondissement,Canton,Intercommunalité,Superficie(km2),Population(dernière pop. légale),Densité(hab./km2),Modifier
Châteauneuf,85062,85710,Les Sables-d'Olonne,Challans,CC Challans-Gois-Communauté,"15,92",1 144 (2022),72,NA
Chauché,85064,85140,La Roche-sur-Yon,Montaigu-Vendée,CC du Pays-de-Saint-Fulgent-les-Essarts,"41,99",2 559 (2022),61,NA
Chavagnes-en-Paillers,85065,85250,La Roche-sur-Yon,Montaigu-Vendée,CC du Pays-de-Saint-Fulgent-les-Essarts,"40,57",3 648 (2022),90,NA
Chavagnes-les-Redoux,85066,85390,Fontenay-le-Comte,Les Herbiers,CC du Pays-de-Pouzauges,"13,34",847 (2022),63,NA
Cheffois,85067,85390,Fontenay-le-Comte,La Châtaigneraie,CC du Pays-de-la-Châtaigneraie,"18,63",1 002 (2022),54,NA
Coëx,85070,85220,Les Sables-d'Olonne,Saint-Hilaire-de-Riez,CA Pays de Saint-Gilles-Croix-de-Vie Agglomération,"39,56",3 416 (2022),86,NA
Commequiers,85071,85220,Les Sables-d'Olonne,Saint-Hilaire-de-Riez,CA Pays de Saint-Gilles-Croix-de-Vie Agglomération,"40,26",3 708 (2022),92,NA
La Copechagnière,85072,85260,La Roche-sur-Yon,Montaigu-Vendée,CC du Pays-de-Saint-Fulgent-les-Essarts,"9,68",1 047 (2022),108,NA
Corpe,85073,85320,Fontenay-le-Comte,Mareuil-sur-Lay-Dissais,CC Sud-Vendée-Littoral,"17,10",1 025 (2022),60,NA
La Couture,85074,85320,Fontenay-le-Comte,Mareuil-sur-Lay-Dissais,CC Sud-Vendée-Littoral,"7,03",229 (2022),33,NA
Cugand-la-Bernardière,85076,85610,La Roche-sur-Yon,Mortagne-sur-Sèvre,"CA Terres de Montaigu, communauté d'agglomération","28,56",5 659 (2022),198,NA
Curzon,85077,85540,Les Sables-d'Olonne,Mareuil-sur-Lay-Dissais,CC Vendée-Grand-Littoral,"5,90",492 (2022),83,NA
Damvix,85078,85420,Fontenay-le-Comte,Fontenay-le-Comte,CC Vendée-Sèvre-Autise,"11,66",731 (2022),63,NA
Doix lès Fontaines,85080,85200,Fontenay-le-Comte,Fontenay-le-Comte,CC Pays-de-Fontenay-Vendée,"23,87",1 757 (2022),74,NA
Dompierre-sur-Yon,85081,85170,La Roche-sur-Yon,La Roche-sur-Yon-1,CA La Roche-sur-Yon - Agglomération,"33,60",4 535 (2022),135,NA
Les Epesses,85082,85590,La Roche-sur-Yon,Les Herbiers,CC du Pays des Herbiers,"31,29",2 984 (2022),95,NA
L'Épine,85083,85740,Les Sables-d'Olonne,Saint-Jean-de-Monts,CC de l'Île-de-Noirmoutier,"8,95",1 643 (2022),184,NA
Essarts-en-Bocage,85084,85140,La Roche-sur-Yon,Chantonnay,CC du Pays-de-Saint-Fulgent-les-Essarts,"68,47",6 835 (2022),100,NA
Falleron,85086,85670,La Roche-sur-Yon,Challans,CC de Vie-et-Boulogne,"28,64",1 704 (2022),59,NA
Faymoreau,85087,85240,Fontenay-le-Comte,Fontenay-le-Comte,CC Vendée-Sèvre-Autise,"10,99",205 (2022),19,NA
Le Fenouiller,85088,85800,Les Sables-d'Olonne,Saint-Hilaire-de-Riez,CA Pays de Saint-Gilles-Croix-de-Vie Agglomération,"17,81",4 978 (2022),280,NA
La Ferrière,85089,85280,La Roche-sur-Yon,Chantonnay,CA La Roche-sur-Yon - Agglomération,"47,17",5 411 (2022),115,NA
Fontenay-le-Comte,85092,85200,Fontenay-le-Comte,Fontenay-le-Comte,CC Pays-de-Fontenay-Vendée,"34,05",13 806 (2022),405,NA
Fougeré,85093,85480,La Roche-sur-Yon,Chantonnay,CA La Roche-sur-Yon - Agglomération,"26,89",1 242 (2022),46,NA
Foussais-Payré,85094,85240,Fontenay-le-Comte,Fontenay-le-Comte,CC Pays-de-Fontenay-Vendée,"34,42",1 176 (2022),34,NA
Froidfond,85095,85300,Les Sables-d'Olonne,Challans,CC Challans-Gois-Communauté,"21,51",2 128 (2022),99,NA
La Garnache,85096,85710,Les Sables-d'Olonne,Challans,CC Challans-Gois-Communauté,"59,49",5 413 (2022),91,NA
La Gaubretière,85097,85130,La Roche-sur-Yon,Mortagne-sur-Sèvre,CC du Pays-de-Mortagne,"30,33",3 223 (2022),106,NA
La Genétouze,85098,85190,La Roche-sur-Yon,Aizenay,CC de Vie-et-Boulogne,"13,12",1 963 (2022),150,NA
Le Girouard,85099,85150,Les Sables-d’Olonne,Talmont-Saint-Hilaire,Pays-des-Achards,"25,10",1 144 (2022),46,NA
Givrand,85100,85800,Les Sables-d'Olonne,Saint-Hilaire-de-Riez,CA Pays de Saint-Gilles-Croix-de-Vie Agglomération,"11,69",2 216 (2022),190,NA
Le Givre,85101,85540,Les Sables-d'Olonne,Mareuil-sur-Lay-Dissais,CC Vendée-Grand-Littoral,"12,42",484 (2022),39,NA
Grand'Landes,85102,85670,La Roche-sur-Yon,Challans,CC de Vie-et-Boulogne,"20,49",725 (2022),35,NA
Grosbreuil,85103,85440,Les Sables-d'Olonne,Talmont-Saint-Hilaire,CC Vendée-Grand-Littoral,"36,33",2 216 (2022),61,NA
Grues,85104,85580,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"47,18",910 (2022),19,NA
Le Gué-de-Velluire,85105,85770,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"12,81",516 (2022),40,NA
La Guérinière,85106,85680,Les Sables-d'Olonne,Saint-Jean-de-Monts,CC de l'Île-de-Noirmoutier,"7,82",1 335 (2022),171,NA
L'Herbergement,85108,85260,La Roche-sur-Yon,Aizenay,"CA Terres de Montaigu, communauté d'agglomération","16,75",3 437 (2022),205,NA
Les Herbiers,85109,85500,La Roche-sur-Yon,Les Herbiers,CC du Pays des Herbiers,"88,78",16 589 (2022),187,NA
L'Hermenault,85110,85570,Fontenay-le-Comte,La Châtaigneraie,CC Pays-de-Fontenay-Vendée,"11,42",903 (2022),79,NA
L'Île-d'Elle,85111,85770,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"19,09",1 505 (2022),79,NA
L'Île-d'Olonne,85112,85340,Les Sables-d'Olonne,Talmont-Saint-Hilaire,CA Les Sables-d'Olonne-Agglomération,"19,23",2 805 (2022),146,NA
L'Île-d'Yeu,85113,85350,Les Sables-d'Olonne,L’Île-d'Yeu,-,"23,32",4 887 (2022),210,NA
Jard-sur-Mer,85114,85520,Les Sables-d'Olonne,Talmont-Saint-Hilaire,CC Vendée-Grand-Littoral,"16,57",3 046 (2022),184,NA
La Jaudonnière,85115,85110,Fontenay-le-Comte,La Châtaigneraie,CC Sud-Vendée-Littoral,"8,27",647 (2022),78,NA
La Jonchère,85116,85540,Les Sables-d'Olonne,Mareuil-sur-Lay-Dissais,CC Vendée-Grand-Littoral,"11,50",483 (2022),42,NA
Lairoux,85117,85400,Fontenay-le-Comte,Luçon,CC Sud-Vendée-Littoral,"13,19",601 (2022),46,NA
Landeronde,85118,85150,La Roche-sur-Yon,La Roche-sur-Yon-1,CA La Roche-sur-Yon - Agglomération,"17,96",2 285 (2022),127,NA
Les Landes-Genusson,85119,85130,La Roche-sur-Yon,Mortagne-sur-Sèvre,CC du Pays-de-Mortagne,"31,33",2 572 (2022),82,NA
Landevieille,85120,85220,Les Sables-d'Olonne,Saint-Hilaire-de-Riez,CA Pays de Saint-Gilles-Croix-de-Vie Agglomération,"13,57",1 512 (2022),111,NA
Le Langon,85121,85370,Fontenay-le-Comte,Fontenay-le-Comte,CC Pays-de-Fontenay-Vendée,"23,74",1 050 (2022),44,NA
Liez,85123,85420,Fontenay-le-Comte,Fontenay-le-Comte,CC Vendée-Sèvre-Autise,"8,38",296 (2022),35,NA
